Initials,date,course id,time(m),summary,Class or HW
CJ,1/8/2024,Theo-370,75,class: syllabus,Class
CJ,1/8/2024,Acct-313,75,Class: ch 18,Class
CJ,1/8/2024,Acct-313,75,study,Study
CJ,1/8/2024,Econ-351,75,Class: syllabus,Class
CJ,1/9/2024,DS-160,80,Class: Module 2,Class
CJ,1/9/2024,FINA-427,75,Class: chapter 1,Class
CJ,1/9/2024,BUSA-301,75,Class: chapter 1,Class
CJ,1/9/2024,DS-160,20,Finished homework,Homework
CJ,1/9/2024,DS-160,20,Log schedule,Homework
CJ,1/9/2024,Theo-370,60,read pages 2-32 in book,Homework
CJ,1/9/2024,Acct-313,60,read ch. 18,Homework
CJ,1/10/2024,Theo-370,75,class: syllabus,Class
CJ,1/10/2024,Acct-313,75,Class: ch 18,Class
CJ,1/10/2024,Econ-351,75,Class: syllabus,Class
CJ,1/11/2024,DS-160,80,Class: Assignment 1,Class
CJ,1/11/2024,FINA-427,75,Class: chapter 2,Class
CJ,1/11/2024,BUSA-301,75,Class: chapter 2,Class
CJ,1/11/2024,FINA-427,30,Class: chapter 1,Class
CJ,1/11/2024,DS-160,20,Log schedule,Homework
CJ,1/11/2024,Acct-313,120,HW: ch. 18 problems,Homework
CJ,1/16/2024,DS-160,80,Class: Module 3,Class
CJ,1/16/2024,FINA-427,75,Class: group assignment,Class
CJ,1/16/2024,DS-160,10,HW: log hours,Homework
CJ,1/17/2024,Theo-370,75,class: syllabus,Class
CJ,1/17/2024,Acct-313,75,Class: ch 18,Class
CJ,1/17/2024,Econ-351,75,Class: syllabus,Class
CJ,1/18/2024,DS-160,80,Class: Assignment 2,Class
CJ,1/18/2024,FINA-427,75,Class: chapter Napoli case,Class
CJ,1/18/2024,BUSA-301,75,Class: chapter 3,Class
CJ,1/17/2024,DS-160,90,Podcast Summary,Homework
CJ,1/21/2024,Acct-313,180,Study for Quiz,Study
CJ,1/21/2024,FINA-427,120,Group project,Homework
CJ,1/22/2024,Econ-351,60,Stock portfolio,Homework
CJ,1/22/2024,Theo-370,75,Discussion,Class
CJ,1/22/2024,Acct-313,75,Quiz,Class
CJ,1/22/2024,Econ-351,75,chapter 1,Class
CJ,1/22/2024,DS-160,20,Pandas,Homework
CJ,1/22/2024,DS-160,20,Time sheet,Homework
CJ,1/22/2024,FINA-427,75,Class: work on project,Class
CJ,1/22/2024,BUSA-301,75,presentations,Class
CJ,1/23/2024,Theo-370,75,Discussion,Class
CJ,1/23/2024,Acct-313,75,Ch 20,Class
CJ,1/23/2024,Econ-351,75,Stock portfolio,Class
CJ,1/24/2024,DS-160,20,Pandas workbook,Class
CJ,1/25/2024,FINA-427,75,Class: new case,Class
CJ,1/26/2024,BUSA-301,75,Class: chapter 4,Class
CJ,1/28/2024,Econ-351,20,Stock portfolio,Homework
CJ,1/28/2024,FINA-427,30,project,Homework
CJ,1/29/2024,DS-160,20,Time sheet,Homework
CJ,1/29/2024,Acct-313,75,ch 21,Class
CJ,1/29/2024,Econ-351,75,TMV,Class
CJ,1/29/2024,DS-160,45,Panda HW,Homework
CJ,1/29/2024,Acct-313,120,Study for Quiz,Study
CJ,1/30/2024,DS-160,20,Mat Lib,Class
CJ,1/31/2024,FINA-427,75,Class: work on project,Class
CJ,1/31/2024,BUSA-301,75,Class: presentation,Class
CJ,1/31/2024,Acct-313,120,Study for Quiz,Study
CJ,2/1/2024,Theo-370,75,Discussion,Class
CJ,2/1/2024,Acct-313,75,quiz,Class
CJ,2/1/2024,Econ-351,75,Stock portfolio,Class
CJ,2/2/2024,DS-160,20,Mat Lib,Class
CJ,2/2/2024,FINA-427,75,Class: work on project,Class
CJ,2/2/2024,BUSA-301,75,Class: presentation,Class
CJ,2/5/2024,Theo-370,75,Discussion: Islam,Class
CJ,2/5/2024,Acct-313,75,Review for test,Class
CJ,2/5/2024,Econ-351,75,Portfolio Notes,Class
CJ,2/6/2024,DS-160,20,Time sheet,Homework
CJ,2/6/2204,Acct-313,180,Study for Test,Study
CJ,2/6/2024,DS-160,20,Continue Mat Lib,Class
CJ,2/6/2024,FINA-427,75,Class: Review Homework,Class
CJ,2/6/2024,BUSA-301,75,Class: presentation,Class
CJ,2/6/2024,DS-160,20,Matplot HW,Homework
CJ,2/7/2024,Theo-370,75,Discussion,Class
CJ,2/7/2024,Acct-313,75,Exam,Class
CJ,2/7/2024,Econ-351,75,Review Stocks,Class
CJ,2/8/2024,DS-160,80,guest speaker,Class
CJ,2/8/2024,FINA-427,75,case study,Class
CJ,2/8/2024,BUSA-301,75,exam,Class
CJ,2/12/2024,Theo-370,75,Discuss visit,Class
CJ,2/12/2024,Acct-313,75,review exam,Class
CJ,2/12/2024,Econ-351,75,work on project,Class
CJ,2/13/2024,DS-160,20,time sheet,Homework
CJ,2/13/2024,FINA-427,75,case study,Class
CJ,2/13/2024,BUSA-301,75,exam,Class
CJ,2/13/2024,DS-160,80,next lesson,Class
CJ,2/14/2024,Theo-370,75,The other,Class
CJ,2/14/2024,Acct-313,75,Chapter 2,Class
CJ,2/14/2024,Econ-351,75,work on project,Class
CJ,2/15/2024,DS-160,80,work on assignment,Class
CJ,2/15/2024,FINA-427,75,case study,Class
CJ,2/15/2024,BUSA-301,75,chapter 7,Class
CJ,2/15/2024,Theo-370,50,Paper,Homework
CJ,2/19/2024,Theo-370,75,The other,Class
CJ,2/19/2024,Acct-313,75,quiz review,Class
CJ,2/19/2024,Econ-351,75,presentations,Class
CJ,2/19/2024,FINA-427,60,Case study,Homework
CJ,2/20/2024,DS-160,10,Timesheet,Class
CJ,2/20/2024,DS-160,80,Class,Homework
CJ,2/21/2024,DS-160,80,individual poject,Homework
CJ,2/21/2024,DS-160,80,work on assignment,Class
CJ,2/21/2024,FINA-427,75,Test,Class
CJ,2/21/2024,BUSA-301,75,Work on project,Class
CJ,3/4/2024,Theo-370,75,The other,Class
CJ,3/4/2024,Acct-313,75,quiz review,Class
CJ,3/4/2024,Econ-351,75,presentations,Class
CJ,3/5/2024,DS-160,10,Timesheet,Class
CJ,3/5/2024,DS-160,80,Class,Homework
CJ,3/5/2024,FINA-427,75,Test review,Class
CJ,3/5/2024,BUSA-301,75,study for project,Class
CJ,3/6/2024,Theo-370,75,The other,Class
CJ,3/6/2024,Acct-313,75,quiz review,Class
CJ,3/6/2024,Econ-351,75,presentations,Class
CJ,3/6/2024,FINA-427,60,Case study,Homework
CJ,3/7/2024,DS-160,10,Timesheet,Class
CJ,3/7/2024,DS-160,80,Class,Homework
CJ,3/7/2024,DS-160,80,Project,Homework
CJ,3/7/2024,DS-160,80,work on assignment,Class
CJ,3/7/2024,FINA-427,75,Project,Class
CJ,3/7/2024,BUSA-301,75,Work on project,Class
CJ,3/11/2024,Theo-370,75,The other,Class
CJ,3/11/2024,Acct-313,75,quiz review,Class
CJ,3/11/2024,Econ-351,75,presentations,Class
CJ,3/12/2024,DS-160,10,Timesheet,Class
CJ,3/12/2024,DS-160,80,Class,Homework
CJ,3/12/2024,FINA-427,75,Test review,Class
CJ,3/12/2024,BUSA-301,75,study for project,Class
CJ,3/13/2024,Theo-370,75,turn in paper,Class
CJ,3/13/2024,Acct-313,75,quiz,Class
CJ,3/13/2024,Econ-351,75,work on paper,Class
CJ,3/14/2024,DS-160,80,Class,Homework
CJ,3/14/2024,FINA-427,75,Capsim,Class
CJ,3/14/2024,BUSA-301,75,study for project,Class
CJ,3/18/2024,DS-160,120,project,Homework
CJ,3/18/2024,Theo-370,75,speaker,Class
CJ,3/18/2024,Acct-313,75,quiz,Class
CJ,3/18/2024,Econ-351,75,discussion,Class
CJ,3/19/2024,DS-160,80,R,Class
CJ,3/19/2024,FINA-427,75,Capsim,Class
CJ,3/19/2024,BUSA-301,75,Presentations,Class
CJ,3/20/2024,Theo-370,75,Islam,Class
CJ,3/20/2024,Acct-313,75,Study for Test,Class
CJ,3/20/2024,Econ-351,75,discussion,Class
CJ,3/21/2024,DS-160,80,presentations,Class
CJ,3/21/2024,FINA-427,75,Capsim,Class
CJ,3/21/2024,BUSA-301,75,Presentations,Class
CJ,3/21/2024,BUSA-301,120,Presentations,Homework
CJ,3/25/2024,Theo-370,75,speaker,Class
CJ,3/25/2024,Acct-313,75,exam,Class
CJ,3/25/2024,Econ-351,75,discussion,Class
CJ,3/25/2024,Acct-313,75,exam,Homework
CJ,3/26/2024,DS-160,80,presentations,Class
CJ,3/26/2024,FINA-427,75,Capsim,Class
CJ,3/26/2024,BUSA-301,75,Presentations,Class
CJ,3/25/2024,Theo-370,75,Budism,Class
CJ,3/25/2024,Acct-313,75,ereview exam,Class
CJ,3/25/2024,Econ-351,75,presentations,Class
CJ,3/26/2024,DS-160,10,Timesheet,Homework
CJ,4/2/2024,DS-160,80,linear regression,Class
CJ,4/2/2024,FINA-427,75,Capsim,Class
CJ,4/2/2024,BUSA-301,75,Presentations,Class
CJ,4/2/2024,DS-160,10,Timesheet,Homework
CJ,4/4/2024,DS-160,80,linear regression,Class
CJ,4/4/2024,FINA-427,75,Capsim,Class
CJ,4/4/2024,BUSA-301,75,Presentations,Class
CJ,4/6/2024,DS-160,60,Mini Assignment,Homework
CJ,4/6/2024,Econ-351,20,stock portfolio,Homework
CJ,4/6/2024,Acct-313,60,Read chapters,Homework
CJ,4/6/2024,Acct-313,60,study for quiz,Homework
CJ,4/8/2024,Theo-370,75,Athiesm,Class
CJ,4/8/2024,Acct-313,75,study for quiz,Class
CJ,4/8/2024,Econ-351,75,stock portfolio,Class
CJ,4/9/2024,Acct-313,60,study for quiz,Homework
CJ,4/9/2024,DS-160,10,Timesheet,Homework
CJ,4/9/2024,DS-160,80,linear regression,Class
CJ,4/9/2024,FINA-427,75,Capsim,Class
CJ,4/9/2024,BUSA-301,75,Presentations,Class
,4/10/2024,Theo-370,75,budhism,Class
,4/10/2024,Acct-313,75,quiz,Class
,4/10/2024,Econ-351,75,stock portfolio,Class
,4/11/2024,DS-160,120,R project,homework
,4/11/2024,DS-160,75,R,class
,4/11/2024,FINA-427,75,lecture,class
,4/11/2024,BUSA-301,75,presentations,class
,4/15/2024,Theo-370,75,case study,Class
,4/15/2024,Acct-313,75,review quiz,Class
,4/15/2024,Econ-351,75,presentations,Class
,4/15/2024,Econ-351,120,presentations,homework
,4/16/2024,DS-160,15,timesheet,homework
,4/16/2024,DS-160,75,SQL,class
,4/16/2024,FINA-427,75,lecture,class
,4/16/2024,BUSA-301,75,paper review,class
